"item_name","location_name","closing_quantity","closing_rate","closing_value"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-7","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BLUE CENTER ART CARD 270GSM 69CMS REEL-8","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BOARD 250GSM 89CMS REEL","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BOARD 340GSM 58.5CMS REEL","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BRIGHT COAT SBS ART BOARD-FSC 300GSM 63.5CMS REEL-84502528","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BRIGHT COAT SBS ART BOARD-FSC 300GSM 63.5CMS REEL-84502529","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"BRIGHT COAT SBS ART BOARD-FSC 300GSM 63.5CMS REEL-84503509","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF BOARD 210GSM 60CMS REEL-69979378","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF BOARD 210GSM 60CMS REEL-69979520","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF BOARD 210GSM 82CMS REEL-654002890212","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF BOARD 210GSM 82CMS REEL-654002890213","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF COATED 210GSM 58.6CMS REEL-69439039 CD","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CFF COATED 210GSM 58.6CMS REEL-85173698 WD","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CORE","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CORE PLUG","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"CYBER XL 380GSM 58.5CMS REEL-84709713","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 210GSM 82CMS REEL-654002844938","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 210GSM 82CMS REEL-654002844939","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 210GSM 82CMS REEL-654002844940","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 240GSM 73CMS REEL-654002844935","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 240GSM 73CMS REEL-654002844936","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"D (CFK) 240GSM 73CMS REEL-654002844937","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK GREEN (60X75CMS 400GSM 25.90KGS)","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK GREEN 350GSM 55.5X68CMS 19KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK GREY 230GSM 63.5CMS REEL-004895","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK GREY 230GSM 63.5X91.5CMS 13.40KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK WHITE 230GSM 68X48CMS 10.80KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK WHITE 250GSM 65X45CMS 7.3KGS D","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK WHITE 250GSM 68.5X48CMS 8.2KGS D","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"GOODLUCK WHITE 250GSM 68X48CMS 11.80KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC PEARL XL 250GSM 103X60.5CMS 15.6KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC SAFIRE GRAPHIK 200GSM 56X71CMS 8KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC SAFIRE GRAPHIK 200GSM 63.5X91CMS 11.60KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC SAFIRE GRAPHIK 250GSM 63.5X91.5CMS 14.50KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC SAFIRE GRAPHIK 300GSM 58.5CMS REEL (REV)","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"ITC SAFIRE GRAPHIK 300GSM 58.5X91.5CMS 16.10KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTR 320GSM 105.5CMS REEL-KCJA05062A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTR 320GSM 105.5CMS REEL-KCJA05062B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28012B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28015B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28015C","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28016C","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28017A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28019A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL-KCJA28022B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5CMS REEL[REV]","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 63.5X91.5CMS 25.60KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 91.5CMS REEL-KCJA28026E","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 91.5CMS REEL-KCJA28029C","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 91.5CMS REEL-KCJA28031C","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 91.5CMS REEL-KCJA28034E","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 220GSM 91.5X63.5CMS 12.80KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 58.5CMS REEL-KCJA04015C","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 58.5CMS REEL-KCJA04028B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 58.5X91.5CMS 26.80KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA02042A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA02043A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA04013A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA04013B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA04014B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5CMS REEL-KCJA04032A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5X91.5CMS 14.60KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 63.5X91.5CMS 29.10KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 71CMS REEL-KCJA02043B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 71CMS REEL-KCJA02044B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 250GSM 71CMS REEL-KCJA04028E","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 290GSM 63.5X91.5CMS 16.80KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 290GSM 63.5X91.5CMS 33.70KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 290GSM 91.5CMS REEL-KCJA02026D","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 320GSM 58.5CMS REEL-KCJA05060A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 320GSM 58.5X91.5CMS 34.30KGS","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA 320GSM 71CMS REEL-KCJA05053E","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA290GSM 63.5 CMS REEL-KCJA02026A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA290GSM 63.5 CMS REEL-KCJA02036B","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
"KGO BLANCA ULTRA290GSM 63.5 CMS REEL-KCJA05032A","29f69c78-2ba4-4adb-9d3e-2d0f415f9c56-00000cd5","0","0","0"
